,nn2,nn16,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_Prime_Ligand_efficiency_ln,lig_C,lig_HD,as_flex_all,AlogP,predicted_score
94,4.74,2.5610000000000004,-22.600590640126,-1.3554353339110201,-22.600590640126,-1.35543533391105,-5.990738006211307,2.0,0.0,26.0,3.7385,0.3435560482193335
95,0.413,-1.087,-19.917498565802802,1.4210854715202e-14,-19.9174985658428,0.0,-6.76106790704051,4.0,0.0,29.0,-0.9683,4.33051509166844
96,-0.618,0.705,-27.635035319413905,-1.35732037970224,-27.63503531945389,-1.35732037970224,-8.13298618725667,4.0,0.0,31.0,2.1122,0.0
97,-0.526,-0.7929999999999999,-15.873313887677801,-1.7378694519018996,-15.873313887685098,-1.7378694519018996,-5.15460796148736,6.0,0.0,40.0,0.3302,6.289015846804513
98,3.222,3.6889999999999996,-35.1527219696363,-1.3469382933816296,-35.1527219695927,-1.34693829338158,-9.480109508546366,7.0,2.0,35.0,0.3289,0.0
99,0.091,-0.20800000000000002,-20.269602618511296,-1.21405381794868,-20.269602618551303,-1.2140538179487,-5.965340597980831,4.0,0.0,27.0,2.2491,0.264833440383624
100,-1.034,1.9569999999999999,-34.2120780382211,-1.45319075200936,-34.212078038261104,-1.45319075200936,-10.068608739093198,4.0,0.0,33.0,1.9075,2.6766385138916955
101,1.85,3.912,-31.111746449154506,-1.4231434522460902,-31.111746449194488,-1.4231434522460902,-8.39032503926364,7.0,2.0,34.0,0.3289,0.0
102,-0.544,-0.4370000000000001,-28.8895247231012,-1.5409125744037502,-28.889524723133892,-1.54091257440371,-8.28989916411639,4.0,0.0,34.0,2.5228,1.1390538154348104
103,-1.327,3.384,-30.4194784325482,-1.4152250767588201,-30.41947843252269,-1.4152250767588201,-8.532934238989789,3.0,0.0,44.0,2.0069999999999997,9.478028942922641
104,0.8390000000000001,3.766,-24.0723939323798,-1.3513790850522398,-24.072393934242395,-1.3513790850522305,-6.61500816062297,6.0,2.0,34.0,-0.1573,0.20179940561578627
105,8.333999999999998,2.7539999999999996,-35.0417183977152,-2.368856802328449,-35.0417183977224,-2.368856802328449,-9.007293024527046,2.0,0.0,36.0,3.4462,0.0
106,4.698,2.905,-40.95690928923801,-1.2936106663418498,-40.9569092892489,-1.29361066634186,-11.045403127784901,6.0,2.0,37.0,0.5071,0.3021293177410114
107,18.484,-3.012,-33.683962442129996,-2.11531370975425,-33.6839624420863,-2.1153137097542,-9.084009281243688,1.0,2.0,39.0,1.7573,0.14965880586811714
108,0.141,-1.3359999999999999,-25.7983759819399,-0.7836932229811141,-25.7983759819836,-0.7836932229811278,-7.811570407880595,3.0,0.0,25.0,1.3163,0.0
109,2.2,-0.28800000000000003,-30.608957751170202,-1.25758041940256,-30.6089577511266,-1.25758041940252,-8.58608487301646,5.0,0.0,35.0,3.063,4.805467819204348
110,2.137,-0.946,-27.929625683660607,-1.4210854715202e-14,-27.9296256836169,0.0,-9.48081383018995,5.0,1.0,32.0,-0.4138,0.0
111,1.6380000000000001,1.548,-31.878924075521397,-0.7873512135899431,-31.878924075477705,-0.787351213589929,-9.652718454748626,3.0,0.0,25.0,1.3163,0.0
112,-1.56,-0.67,-4.1651931835986,-1.52316995502882,-4.16519318355495,-1.52316995502878,-1.16837373155968,3.0,0.0,53.0,2.0069999999999997,9.755893390428284
113,0.374,-0.741,-20.050994183180602,2.8421709430404e-14,-20.050994183180602,0.0,-6.80638348376324,4.0,0.0,27.0,-0.9683,3.861024579462
114,0.506,-1.068,-20.1434526937992,0.0,-20.1434526938392,0.0,-6.83776886415179,4.0,0.0,28.0,-0.9683,2.803320864370076
115,1.213,-0.645,-19.149518863538802,-1.7264377433755398,-19.1495188635384,-1.7264377433755702,-5.798342305899008,3.0,0.0,25.0,1.5904,0.5421809683113633
116,1.61,4.022,-29.358815582516407,-0.7463943977291191,-29.358815582516407,-0.7463943977291191,-8.889646975273049,3.0,0.0,30.0,1.5904,0.4224083121351054
117,4.919,4.695,-31.9911297271028,-2.22701490735132,-31.991129727128296,-2.2270149073513297,-8.62748020984007,1.0,2.0,33.0,1.7573,1.918267261640876
118,-0.068,2.127,-37.7077209334457,-1.5357390254050405,-37.707720933402,-1.5357390254050205,-10.820295842283098,3.0,0.0,40.0,2.3124,2.69972621829964
119,-0.655,1.0659999999999998,-27.812919742653307,-1.3344755611287298,-27.81291974268609,-1.33447556112868,-8.185337542715878,4.0,0.0,35.0,1.8584,1.9157379992565984
120,0.8240000000000001,2.843,-26.586827609848104,-1.43333417623151,-26.586827609804498,-1.4333341762314704,-7.3059655844056195,7.0,0.0,34.0,3.1092,0.8144942364224308
121,0.821,-0.907,-17.2129797071575,-4.2632564145606005e-14,-17.2129797071175,0.0,-5.84300906552676,4.0,1.0,27.0,-1.6156,2.0257848040352124
122,2.59,0.19899999999999998,-36.45805614468551,-2.05315674294583,-36.45805614464551,-2.05315674294584,-9.663936047351713,2.0,0.0,30.0,3.7385,0.3067595946450971
123,-0.7490000000000001,2.508,-31.421546023670093,-1.4129125942530898,-31.4215460236446,-1.41291259425313,-9.24735564253944,4.0,0.0,39.0,2.2491,3.4602694571309938
124,3.321,3.763,-33.622676617669605,-1.2845823428068601,-33.6226766177097,-1.2845823428068601,-9.648085299419721,4.0,0.0,36.0,2.5228,1.8977946904457283
125,0.154,-1.315,-25.843921169027492,-0.7850652333209641,-25.84392116905289,-0.785065233320978,-7.825361176567888,3.0,0.0,25.0,1.3163,0.0
126,-1.1520000000000001,4.271,-31.6115418442387,-2.2666791564602597,-31.611541844278694,-2.2666791564602597,-8.686739169228979,1.0,0.0,38.0,2.5039,3.5146093154175047
127,2.475,1.169,-27.1268653158986,-0.7503615706310569,-27.126865315873108,-0.7503615706310999,-8.213827820347253,3.0,0.0,30.0,1.5904,0.597191163547166
128,1.0390000000000001,-0.503,-24.520081630056694,-0.5673708606251889,-24.520081630056694,-0.5673708606252179,-7.21625584706821,4.0,0.0,28.0,2.1122,0.0
129,1.841,0.414,-27.8767461632488,-1.4210854715202e-14,-27.876746163205105,0.0,-9.985368177494498,4.0,0.0,25.0,-0.9129999999999999,0.0
130,1.854,0.018000000000000002,-28.98581452468349,-1.04941913049008,-28.9858145246944,-1.04941913049004,-8.530520277280933,4.0,0.0,40.0,1.8584,2.3621376750559646
131,0.486,1.8940000000000001,-25.843454698108,-1.27446766543427,-25.843454698133396,-1.2744676654342901,-7.24931888415663,4.0,1.0,37.0,1.5091,0.0
132,3.588,-1.298,13.646527318047399,2.8421709430404e-14,13.646527318047399,0.0,4.43149419573111,6.0,1.0,49.0,0.1662,1.957196199718065
133,0.5660000000000001,4.192,-20.097205417751,-1.31470317530042,-20.097205417783687,-1.31470317530038,-5.63744485617641,5.0,0.0,37.0,2.0958,0.6569594780128084
134,0.65,4.208,-26.5828905937597,-1.25256917074762,-26.5828905937415,-1.25256917074766,-8.63237383595815,6.0,0.0,29.0,0.3302,0.9386467924328116
135,-1.172,0.8499999999999999,-20.813713327032,-1.34742734417249,-20.8137133270575,-1.3474273441725002,-6.12547228681674,4.0,0.0,38.0,2.2491,0.29943325134566123
136,1.3459999999999999,-2.009,-22.929085876694398,0.0,-22.9290858767345,0.0,-7.78336226040271,5.0,1.0,35.0,-0.4138,0.0
137,-0.982,-0.745,-20.618536787307697,-1.3850516959116297,-20.6185367873186,-1.38505169591164,-5.783682941849508,5.0,0.0,22.0,2.0958,0.1406279510524321
138,-0.395,1.624,-26.64370250809949,-1.32208347801718,-26.643702508110398,-1.3220834780171902,-7.841237109746711,4.0,0.0,34.0,1.8584,2.2440080352991085
139,-1.8530000000000002,2.806,-38.9177591100233,-1.5467273093827,-38.917759110063294,-1.5467273093827,-10.916777549326902,5.0,0.0,45.0,3.063,3.8806477852548866
140,1.723,1.6219999999999999,-19.0685989391604,-0.985863525995015,-19.0685989391604,-0.9858635259950428,-5.34891159091765,5.0,0.0,27.0,2.0958,0.0
141,-0.382,-0.292,-25.515034888187103,-1.3445545095938305,-25.5150348882125,-1.3445545095938498,-7.01144075982026,7.0,0.0,27.0,3.1092,2.4388209972930173
142,-0.3670000000000001,-0.915,-18.918421879416197,2.8421709430404e-14,-18.9184218794159,0.0,-6.4219276631647775,5.0,1.0,35.0,-0.4138,0.2902909014299819
143,0.358,-0.315,-19.688940859076,-1.14929242665198,-19.688940859116002,-1.149292426652,-5.794451941086731,4.0,0.0,31.0,1.8584,2.2382611446875327
144,5.61,2.49,-12.8939102291697,-0.05672575407008649,-12.893910229144193,-0.0567257540701291,-3.6999298761572494,2.0,0.0,30.0,1.9278,3.6642318423867595
145,0.5539999999999999,-2.795,-21.1549269777861,1.4210854715202e-14,-21.1549269777461,0.0,-7.1811175179833615,3.0,3.0,33.0,-3.6119,0.0
146,-0.063,0.261,-23.0670500705201,-1.3219650314065101,-23.067050070527298,-1.3219650314065101,-6.9845437501227305,3.0,0.0,32.0,1.7929,1.9288558668382807
147,-0.532,1.237,-28.667271905174893,-1.0838871338495295,-28.667271905207595,-1.08388713384949,-7.87766427087471,1.0,0.0,29.0,2.5039,4.539310318390162
148,7.9689999999999985,13.542,-18.419181313808892,-1.37358372265535,-18.4191813138086,-1.373583722655379,-4.734555579791079,2.0,0.0,35.0,3.4462,0.0
149,1.11,-0.361,-6.557333614677192,-1.4210854715202e-14,-6.5573336165398395,0.0,-2.0509455798505294,8.0,0.0,16.0,1.8745,0.11495029325341415
150,-1.12,4.38,-32.7672863007683,-2.271380528150861,-32.7672863008047,-2.2713805281508703,-9.004333631708036,1.0,0.0,37.0,2.5039,3.3402674036058912
151,0.569,2.283,-26.948575292597493,-1.4244133236751295,-26.948575292630306,-1.42441332367508,-7.405372559889479,7.0,0.0,33.0,3.1092,0.7903680296045857
152,-0.46299999999999997,1.1190000000000002,-28.4339396579562,-1.3369492172309096,-28.433939657989,-1.3369492172308701,-8.368103598007348,4.0,0.0,31.0,2.1122,0.0
153,-0.557,0.374,-21.7952273197952,-1.3383362666679195,-21.79522731979489,-1.33833626666795,-6.59944458843184,3.0,0.0,31.0,1.7929,0.5550321994153136
